depth,width,mae_mean,mae_std,gap_mean,gap_std
1,4,6.29093941659348,1.2414391577274426,0.2889699575614918,0.18301535574237518
1,8,5.1322563221642366,0.45463148815344234,0.4815955973427285,0.16149435290363912
1,16,5.123097218139344,0.3934916705412588,0.6294355084571827,0.17935546133445252
1,32,5.08330644687377,0.3438786746556996,0.8890598934989313,0.22697561063766478
1,64,5.117307127226583,0.28562255386773616,0.9550312104555696,0.23363608619162649
1,128,5.000207188599608,0.23991914055723448,0.8812289251273068,0.1984031670664678
2,4,5.774193715654075,1.060107956906778,0.36950561865001397,0.23478570686250497
2,8,5.240718716236303,0.324436597710305,0.6200976101859721,0.19328720555909432
2,16,5.592133282705168,0.6418755052838041,0.9173000876630504,0.2956275097114323
2,32,5.279098079802592,0.4130727414030904,0.7809704926977212,0.2870707998068706
2,64,5.463132391614645,0.3368037321982798,0.8732703812143132,0.24561762776237805
2,128,5.435518728747283,0.32088415016858113,0.5182693404980978,0.25707570329408846
3,4,5.718874817430564,0.9637715925675276,0.4219995168677233,0.26138527873216605
3,8,5.511284090673153,0.767076894930986,0.6759587841538142,0.3486769080572053
3,16,5.747589469202178,0.730461956390585,0.8801555870693314,0.38009594306079997
3,32,5.582149126036471,0.3881548599974133,0.919735644828117,0.48335457864083314
3,64,5.5984287172643645,0.37646736695297484,0.9927326464614608,0.5410052675354791
3,128,5.174819495178217,0.2602844261917492,0.7134988418729711,0.5516886042185034
4,4,6.206137231937349,1.3835077946712881,0.43014690459200217,0.24855167715613158
4,8,5.907748007541652,0.650038210929632,0.6719039239500265,0.2225335698632738
4,16,5.706056694202407,1.0391081155524726,0.7871336062914481,0.6090305444635876
4,32,5.92520937251629,0.4908550258678088,1.2187503305947782,0.32810357767755666
4,64,5.417245540287035,0.4533580688953427,0.9645255382004327,0.4690896148234819
4,128,5.185951522108443,0.3643816093072416,0.8511863605661866,0.4944032238956767
