depth,width,mae_mean,mae_std,mae_min,gap_mean,loss_score,gen_score,weighted_score
1,32,4.952185211099695,0.2213800156632272,4.653098821578908,0.8890598934989313,1.0,0.1393459113117339,0.8278691822623468
1,8,5.092480879407291,0.2301829247996538,4.756419055026921,0.4815955973427285,0.7403082261050269,1.0,0.7922465808840216
2,32,5.035746697662808,0.3210082490460971,4.593751277708726,0.7809704926977212,0.8453250129768914,0.3676544664931276,0.7497909036801387
1,64,5.025056142890046,0.2716518383901017,4.601165076848471,0.9550312104555696,0.8651135721416203,2.220446049250313e-16,0.6920908577132963
1,128,5.0659964703882165,0.1799936394878259,4.746489368706618,0.8812289251273068,0.7893317151527715,0.1558866365016618,0.6626426994225496
2,8,5.158622644029547,0.2683874111479338,4.731213088347662,0.6200976101859721,0.6178777021230726,0.7074533283785047,0.6357928273741591
2,128,5.188964263470072,0.3716653179624456,4.720005743283256,0.5182693404980978,0.5617143930886108,0.9225369994575623,0.6338789143624012
1,16,5.17950860886519,0.3661034454042085,4.800007099175238,0.6294355084571827,0.5792171125046952,0.6877296362594987,0.6009196172556559
2,16,5.258605117462359,0.3222910193859743,4.796729883564775,0.9173000876630504,0.43280694265210506,0.07969641857830867,0.3621848378373458
2,64,5.492424380802221,0.3634799600090074,5.03529708048776,0.8732703812143132,0.0,0.17269682925557417,0.034539365851114834
